"uniprotids","Entanglement","Length","Essential","Total_Mutations_n","Path_Mutations_m","p_hat_m_div_n"
"A4D126","Yes",451,"NT",17,10,0.588235294117647
"A5YKK6","Yes",2376,"Yes",19,6,0.315789473684211
"A6NHR9","Yes",2005,"No",32,23,0.71875
"A8K2U0","Yes",1454,"No",52,0,0
"C9JR72","Yes",458,"No",61,3,0.0491803278688525
"O00139","Yes",706,"No",37,6,0.162162162162162
"O00142","Yes",265,"No",29,26,0.896551724137931
"O00206","Yes",839,"No",14,0,0
"O00238","Yes",502,"No",33,10,0.303030303030303
"O00255","Yes",615,"No",133,125,0.93984962406015
"O00329","Yes",1044,"No",20,10,0.5
"O00429","Yes",736,"No",33,32,0.96969696969697
"O00443","Yes",1686,"No",23,1,0.0434782608695652
"O00459","Yes",728,"No",49,13,0.26530612244898
"O00469","Yes",737,"No",12,6,0.5
"O00548","Yes",723,"No",27,3,0.111111111111111
"O00571","Yes",662,"No",113,108,0.955752212389381
"O00628","Yes",323,"No",13,10,0.769230769230769
"O00744","Yes",389,"No",14,8,0.571428571428571
"O00754","Yes",1011,"No",41,20,0.48780487804878
"O14746","Yes",1132,"No",63,37,0.587301587301587
"O14802","Yes",1390,"Yes",26,20,0.769230769230769
"O14896","Yes",467,"No",58,48,0.827586206896552
"O14936","Yes",926,"No",52,33,0.634615384615385
"O15072","Yes",1205,"No",16,2,0.125
"O15123","Yes",496,"No",10,2,0.2
"O15146","Yes",869,"No",28,12,0.428571428571429
"O15160","Yes",346,"Yes",21,17,0.80952380952381
"O15232","Yes",486,"No",20,8,0.4
"O15269","Yes",473,"Yes",19,12,0.631578947368421
"O15344","Yes",667,"No",30,10,0.333333333333333
"O15438","Yes",1527,"No",16,0,0
"O15439","Yes",1325,"No",11,0,0
"O15520","Yes",208,"No",10,8,0.8
"O15528","Yes",508,"No",35,31,0.885714285714286
"O15553","Yes",781,"No",18,11,0.611111111111111
"O43175","Yes",533,"No",15,12,0.8
"O43291","No",252,"No",14,7,0.5
"O43292","Yes",621,"No",14,5,0.357142857142857
"O43462","Yes",519,"No",26,13,0.5
"O43541","Yes",496,"No",26,14,0.538461538461538
"O43586","Yes",416,"No",15,5,0.333333333333333
"O43822","No",256,"No",22,8,0.363636363636364
"O60282","Yes",957,"No",21,7,0.333333333333333
"O60313","Yes",960,"No",108,65,0.601851851851852
"O60443","Yes",496,"No",15,1,0.0666666666666667
"O60488","Yes",711,"No",13,4,0.307692307692308
"O60568","Yes",738,"No",21,2,0.0952380952380952
"O60603","Yes",784,"No",12,0,0
"O60662","Yes",606,"No",11,2,0.181818181818182
"O60674","Yes",1132,"No",19,6,0.315789473684211
"O60706","Yes",1549,"No",36,31,0.861111111111111
"O60826","No",627,"No",20,3,0.15
"O60828","No",265,"No",10,6,0.6
"O60832","Yes",514,"Yes",27,22,0.814814814814815
"O60890","Yes",802,"No",26,10,0.384615384615385
"O75072","Yes",461,"No",15,9,0.6
"O75096","Yes",1905,"No",23,11,0.478260869565217
"O75147","Yes",1896,"No",36,2,0.0555555555555556
"O75197","Yes",1615,"No",91,73,0.802197802197802
"O75208","No",318,"No",11,1,0.0909090909090909
"O75369","Yes",2602,"No",194,42,0.216494845360825
"O75419","Yes",566,"Yes",12,5,0.416666666666667
"O75530","Yes",441,"No",13,11,0.846153846153846
"O75874","Yes",414,"No",14,5,0.357142857142857
"O75907","No",488,"No",12,6,0.5
"O75923","Yes",2080,"No",162,87,0.537037037037037
"O76082","Yes",557,"No",112,98,0.875
"O94766","Yes",335,"No",13,10,0.769230769230769
"O94855","Yes",1032,"No",26,8,0.307692307692308
"O95140","Yes",757,"No",132,126,0.954545454545455
"O95163","Yes",1332,"Yes",21,3,0.142857142857143
"O95259","Yes",989,"No",95,28,0.294736842105263
"O95263","Yes",885,"No",10,2,0.2
"O95363","Yes",451,"No",33,23,0.696969696969697
"O95389","No",354,"No",23,16,0.695652173913043
