"uniprotids","Entanglement","Length","Essential","Total_Mutations_n","Path_Mutations_m","p_hat_m_div_n"
"O00142","Yes",265,"No",29,26,0.896551724137931
"O00206","Yes",839,"No",14,0,0
"O00217","Yes",210,"No",12,12,1
"O00255","Yes",615,"No",133,125,0.93984962406015
"O00330","Yes",501,"No",12,2,0.166666666666667
"O00429","Yes",736,"No",33,32,0.96969696969697
"O00462","Yes",879,"No",15,2,0.133333333333333
"O00628","Yes",323,"No",13,10,0.769230769230769
"O00744","Yes",389,"No",14,8,0.571428571428571
"O00754","Yes",1011,"No",41,20,0.48780487804878
"O00763","Yes",2458,"No",34,0,0
"O14521","No",159,"No",31,27,0.870967741935484
"O14617","Yes",1153,"No",13,1,0.0769230769230769
"O14678","Yes",606,"No",23,3,0.130434782608696
"O14773","Yes",563,"No",56,44,0.785714285714286
"O14802","Yes",1390,"Yes",26,20,0.769230769230769
"O14832","Yes",338,"No",11,8,0.727272727272727
"O14841","Yes",1288,"No",41,3,0.0731707317073171
"O14920","Yes",756,"No",15,1,0.0666666666666667
"O15118","Yes",1278,"No",196,178,0.908163265306122
"O15121","Yes",323,"No",13,6,0.461538461538462
"O15205","No",165,"No",10,0,0
"O15269","Yes",473,"Yes",19,12,0.631578947368421
"O15287","No",622,"No",18,9,0.5
"O15305","Yes",246,"No",100,98,0.98
"O15360","No",1455,"No",131,80,0.610687022900763
"O15455","Yes",904,"No",13,0,0
"O15528","Yes",508,"No",35,31,0.885714285714286
"O15533","Yes",448,"No",12,0,0
"O43175","Yes",533,"No",15,12,0.8
"O43272","Yes",600,"No",22,3,0.136363636363636
"O43280","Yes",583,"No",10,0,0
"O43291","No",252,"No",14,7,0.5
"O43292","Yes",621,"No",14,5,0.357142857142857
"O43502","Yes",376,"Yes",25,9,0.36
"O43520","Yes",1251,"No",35,20,0.571428571428571
"O43543","Yes",280,"No",15,1,0.0666666666666667
"O43586","Yes",416,"No",15,5,0.333333333333333
"O43772","Yes",301,"No",10,8,0.8
"O43822","No",256,"No",22,8,0.363636363636364
"O60266","Yes",1144,"No",14,1,0.0714285714285714
"O60313","Yes",960,"No",108,65,0.601851851851852
"O60494","Yes",1400,"No",35,12,0.342857142857143
"O60603","Yes",784,"No",12,0,0
"O60683","No",326,"No",17,11,0.647058823529412
"O60733","Yes",806,"No",60,55,0.916666666666667
"O60779","Yes",497,"No",12,9,0.75
"O60931","Yes",367,"No",37,26,0.702702702702703
"O75144","No",302,"No",10,2,0.2
"O75197","Yes",1615,"No",91,73,0.802197802197802
"O75208","No",318,"No",11,1,0.0909090909090909
"O75352","Yes",247,"No",11,5,0.454545454545455
"O75439","Yes",489,"Yes",11,4,0.363636363636364
"O75503","Yes",358,"No",15,12,0.8
"O75648","Yes",421,"No",33,17,0.515151515151515
"O75845","Yes",299,"No",12,5,0.416666666666667
"O75881","Yes",506,"No",19,15,0.789473684210526
"O75907","No",488,"No",12,6,0.5
"O76024","Yes",890,"No",109,74,0.678899082568807
"O76082","Yes",557,"No",112,98,0.875
"O94766","Yes",335,"No",13,10,0.769230769230769
"O94886","Yes",807,"No",31,5,0.161290322580645
